name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
GIOCATORE_P_01,CLUB_13,CLB13,P,"121,5","105,5",113-131,85-127,1,91,"5,51",,900001,"7982,46",0,0,0,"6,26","5,45",10000,0,0,0,0,0,0,T,0,0,0,Top,Top,0,,0,1,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-16
GIOCATORE_P_02,CLUB_09,CLB09,P,"29,8","39,9",25-35,30-50,2,91,"5,07",,900002,10000,"6,324","4,992","8526,32","6,41","5,22",10000,0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"4,2",,0,1,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),10
GIOCATORE_P_03,CLUB_07,CLB07,P,"7,2",1,4-11,1-2,3,20,"4,64",,900003,"8421,05",0,0,0,"6,08","5,33","7894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"76,3",,0,1,0,,,FALSE,FALSE,La Juve lo vuole cedere dopo l'acquisto di Vicario,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-6
GIOCATORE_P_04,CLUB_09,CLB09,P,0,1,0-0,1-2,3,28,5,,900004,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,0,,0,0,0,,,FALSE,TRUE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),0
GIOCATORE_P_05,CLUB_07,CLB07,P,"6,3",1,4-9,1-2,3,10,"5,14",,900005,"1491,23","6,144","5,406","1736,84","6,11","5,11","2368,42",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"4,8",,0,1,0,,,FALSE,FALSE,Vicino al Palermo,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-5
GIOCATORE_P_06,CLUB_12,CLB12,P,"4,7",1,3-8,1-2,3,20,"4,69",,900006,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"46,3",,0,1,0,,,FALSE,TRUE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-4
GIOCATORE_P_07,CLUB_08,CLB08,P,"3,4",1,3-5,1-2,3,20,"4,8",,900007,0,0,0,0,6,"5,17","2368,42",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"5,9",,0,1,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-2
GIOCATORE_P_08,CLUB_15,CLB15,P,"2,3",1,2-3,1-2,3,10,"4,75",,900008,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"66,1",,0,1,0,,,FALSE,TRUE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-1
GIOCATORE_D_01,CLUB_06,CLB06,D,"153,1","142,5",143-164,122-164,1,92,"6,96",,900009,"8508,77","6,344","6,944","8157,89","6,6","7,64","9210,53",0,0,0,0,0,0,T,0,30,0,Top,Top,0,,0,9,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-10
GIOCATORE_D_02,CLUB_16,CLB16,D,53,"47,5",48-59,36-60,2,92,"6,34",,900010,0,0,0,0,"6,18","6,4","8947,37",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,,0,4,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-5
GIOCATORE_D_03,CLUB_03,CLB03,D,36,"30,2",32-41,23-38,3,92,"6,22",,900011,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"10,4",,0,3,0,,,FALSE,TRUE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-6
GIOCATORE_D_04,CLUB_05,CLB05,D,"26,2","20,3",23-30,16-26,4,84,"6,2",,900012,0,0,0,0,"5,93","6,09","7105,26",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,"0,6",,0,5,0,,,FALSE,FALSE,"De Rossi lo ha centellinato nelle amichevoli ""causa mercato"" e il Genoa sta chiudendo per Van Der Brempt",Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-6
GIOCATORE_D_05,CLUB_07,CLB07,D,"19,8","16,6",17-24,13-21,5,78,"6,23",,900013,"6491,23",0,0,0,"6,17","6,27","8421,05",0,0,0,0,0,0,P,0,0,0,OttimoTit,OttimoTit,"1,1",,0,2,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-3
GIOCATORE_D_06,CLUB_02,CLB02,D,"8,3","12,2",7-11,10-16,6,86,"6,12",,900014,"5789,47",0,0,0,"5,88","5,82","8947,37",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"3,5",,0,9,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),4
GIOCATORE_D_07,CLUB_17,CLB17,D,"5,9","7,1",5-8,6-9,7,92,"6,05",,900015,0,0,0,0,"5,83","5,75","4736,84",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"6,2",,0,3,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),1
GIOCATORE_D_08,CLUB_04,CLB04,D,0,1,0-0,1-2,8,52,"5,66",,900016,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,0,,0,0,0,,,FALSE,TRUE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),0
GIOCATORE_C_01,CLUB_03,CLB03,C,"186,9","184,1",176-199,157-212,1,92,"7,3",,900017,0,0,0,0,"6,37","7,3","9210,53",0,0,0,0,0,0,T,10,70,0,Top,Top,0,,0,9,0,,,FALSE,FALSE,,Thu Aug 20 2026 11:36:19 GMT+0200 (Central European Summer Time),-3
