name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
ADOPO,Cagliari,CAG,C,3,"2,3",2-5,2-3,7,92,"6,25",,4870,"6666,67",0,0,0,"5,83","5,88",10000,0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"37,4", ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
BALDANZI,Genoa,GEN,C,"32,6","20,7",28-38,16-26,4,88,"6,47",,5823,"5438,6",0,0,0,"6,15","6,38","4473,68",0,0,0,0,0,0,B,0,50,0,OttimoTit,OttimoTit,0,Il Genoa ha deciso di riscattarlo dalla Roma perché De Rossi crede nelle sue qualità. Listato centrocampista ma gioca o nei due dietro la punta o da seconda punta. Ottimo terzo/quarto slot.,0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-12
BARELLA,Inter,INT,C,"71,8","61,8",66-78,50-75,2,92,"6,71",,1870,"9122,81","6,334","6,734","9210,53","6,28","6,71","8947,37",0,0,0,0,0,0,T,0,0,0,OttimoTit,OttimoTit,0,"Sempre presente, non sempre al meglio però quest'anno. Nonostante tutto ha segnato 3 gol e fornito 8 assist. Alle giuste cifre è un ottimo secondo/terzo slot.",0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-10
BASTONI,Inter,INT,D,"58,8",48,54-65,36-60,1,92,"6,35",,2120,"7719,3","6,254","6,358","7789,47","6,2","6,34","7368,42",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Ha avuto un'annata travagliata da episodi che lo hanno messo al centro di diverse discussioni. Prima per il caso Kalulu e poi per il rosso in Nazionale. Voi dimenticate tutto, è uno dei migliori difensori della Serie A e non ci sono chiacchiere che tengono.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-11
BELLANOVA,Atalanta,ATA,D,"13,6","16,8",11-18,13-21,4,76,"6,25",,4887,"8157,89","5,964","6,066","7105,26","5,82","5,82","5789,47",0,0,0,0,0,0,P,0,0,0,OttimoTit,OttimoTit,"3,7", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,3
BIRAGHI,Torino,TOR,D,"2,6",1,3-4,1-2,8,52,"5,98",,252,"5263,16","5,878","5,972","6789,47","5,59","5,59","2894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"90,7", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
BREMER,Juventus,JUV,D,"61,6","53,7",57-67,41-68,1,92,"6,39",,2788,"5964,91","6,302","6,506","6894,74","6,33","6,81","6842,11",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Quando sta bene è dominante e non teme il confronto con nessuno. Difensore forte in marcatura e sulle palle alte. In zona offensiva, sugli sviluppi dei piazzati, è sempre tra i più pericolosi. Occhio solo agli infortuni, non strapagatelo.",0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-8
BUONGIORNO,Napoli,NAP,D,"8,1","12,4",6-11,10-16,5,74,"6,23",,2724,"7280,7","6,108","6,158","7105,26","5,89","5,88","8421,05",0,0,0,0,0,0,T,0,0,8,Jolly,Jolly,"23,9",Buongiorno sì è operato al ginocchio e dovrebbe tornare disponibile nel giro di 3/4 mesi. Si possono fare altre scelte al fanta.,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,4
CABAL,Juventus,JUV,D,"2,2",1,2-3,1-2,8,73,"5,96",,6039,"2982,46",0,0,0,"5,94","6,56","2368,42",0,0,0,0,0,0,P,0,0,0,Jolly,Jolly,"85,6", ,0,5,0, , ,FALSE,FALSE,In trattativa con il Bologna,2026-08-20T09:36:19.000Z,-1
CALHANOGLU,Inter,INT,C,"145,5","134,8",136-156,115-156,1,88,"7,13",,2194,"7192,98","6,41","7,234","7789,47","6,52","7,64","5789,47",0,0,0,0,0,0,T,70,60,0,Top,Top,0,Imprescindibile nel centrocampo nerazzurro e rigorista infallibile. Non serve aggiungere altro. Top di reparto.,0,7,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-11
CAMBIAGHI,Bologna,BOL,C,"6,9","5,5",5-10,5-7,7,80,"6,4",,4436,"6842,11",0,0,0,"5,98","6,42","6315,79",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"14,6","Listato C diventa interessante, anche se comunque parte dietro nelle gerarchie.",0,11,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
CAMBIASO,Juventus,JUV,D,"41,2","53,9",37-46,41-68,1,88,"6,43",,5520,"8947,37","5,962","6,114","8315,79","5,81","5,99","9473,68",0,0,0,0,0,0,T,0,30,0,Semi-Top,Semi-Top,0,"Non bisogna fare l'errore di considerarlo ancora un top di reparto, purtroppo nelle ultime stagioni ha un po deluso. È sicuramente un buon acquisto, però pagato a cifre nettamente più basse rispetto alle ultime stagioni. Poi se dovesse tornare ai suoi livelli ben venga.",0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,13
CANCELLIERI,Lazio,LAZ,C,"13,9","14,6",10-19,11-19,5,80,"6,5",,5500,"7631,58","5,924","6,214","5157,89","5,93","6,29","7368,42",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"2,4", ,0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,1
CARLOS AUGUSTO,Inter,INT,D,14,"31,8",12-17,24-40,2,80,"6,34",,5877,"7982,46",0,0,0,"6,12","6,16","7368,42",0,0,0,0,0,0,P,0,0,0,OttimoTit,OttimoTit,"1,7","La duttilità è il suo forte. Parte dietro nelle gerarchie, ma può essere utilizzato sia come vice Dimarco che come vice Bastoni. Per gli ultimi slot può risultare prezioso.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,18
CARNESECCHI,Atalanta,ATA,P,"106,1","89,4",99-115,72-108,1,91,"5,46",,4431,"8596,49",0,0,0,"6,36","5,58","9736,84",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Uno dei migliori portieri della scorsa stagione. Una vera e propria certezza sia per l'Atalanta che per i suoi fantallenatori. Sarà da capire con Sarri come reagirà la squadra essendo abituata a un altro assetto tattico, ma crediamo che le sue qualità siano fuori discussione.",0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-17
CASALE,Bologna,BOL,D,"3,6",1,2-6,1-2,8,52,"5,94",,5498,"3859,65","5,762","5,702","5631,58","5,65","5,65","2631,58",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"96,5", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
